"","ID","DataElem","rowID","QuesID.13","QuesID.14","QuesID.16","QuesID.17","QuesID.18","QuesID.19","QuesID.20","QuesID.21","QuesID.21.Comments","QuesID.22","QuesID.22.Comments","QuesID.26","QuesID.27","QuesID.28","QuesID.30","QuesID.31","QuesID.32","QuesID.33","QuesID.33.Comments","QuesID.34","QuesID.35","QuesID.37","QuesID.38","QuesID.38.Comments","QuesID.39","QuesID.40","QuesID.41","QuesID.41.Comments","QuesID.42","QuesID.43","QuesID.44","QuesID.44.Comments","QuesID.45","QuesID.46","QuesID.46.Comments","QuesID.47","QuesID.47.Comments","QuesID.48","QuesID.49","QuesID.50","QuesID.50.Comments","QuesID.51","QuesID.51.Comments","QuesID.52","QuesID.52.Comments","QuesID.53","QuesID.53.Comments","QuesID.54","QuesID.54.Comments","QuesID.55","QuesID.55.Comments","Theme","Element"
"1",10,"City & County Comprehensive Plans",8,"Yes","No","Active","Yes","No","No","No","Stay","","Inconsistent","The development of this dataset is very inconsistent. It is based on the extent of the DEM elevation data. ","None","75-100%","Desired","missing","missing","missing","None","","Planned-no resrcs","None","Well established","Purchase","","Not OGIC","25 to <50%","Global","","25 to <50%","Public","Desired","","No","missing","","Desired","","missing","None","Optimized","","Optimized","","None","","None","","None","","No data","","Admin Bnds","city & county comprehensive plan designations"
"2",101,"Oregon Zoning",76,"Yes","Yes","Other","Yes","Yes","No","No","Stay","","No process","Development of the 2012 plant hardiness map (by the PRISM Climate Group) was a one-time project.  Discussions are underway among federal agencies to try to obtain funding for an update, but they have not as yet produced results. ","missing","75-100%","NA","FGDC","Well established",NA,"None","There are no privacy concerns","Desired","Well established","Well established","Alter existing","","Not OGIC","Fully complete","Global","","Fully complete","Public","In progress-full resrcs","Dataset is available via a USDA website. ","No","Optimized","Data element is accessed via the PRISM website:    http://prism.oregonstate.edu    In addition, an interactive map server and many printable maps are accessed from a USDA website:    http://planthardiness.ars.usda.gov/PHZMWeb/  ","Desired","","missing","Well established","No process","","No process","","Well established","","Well established","","Well established","","Other","Stored at both the USDA and at OSU. ","Admin Bnds","zoning (all lands)"
"3",108,"Military Facilities",93,"Yes","Yes","Other","Yes","No","No","No","Stay","","No process","No funding is currently available for wind speed mapping. ","missing","No information","NA",NA,"None","missing","None","No privacy issues","Desired","None","None","missing","","Not OGIC","0%",NA,"Lower 48 states","0%","Public","In progress-full resrcs","Dataset does not exist","No","No process","","Desired","","missing","None","No process","","No process","","None","","None","","None","","No data","","Preparedness","military facilities"
"4",11,"City Limits",90,"Yes","Yes","Active","Yes","Yes","Yes","missing","Stay","","Exists-inadequate","Funding for maintenance the NHD is not consistent among the PNW Hydro group partners.  The federal agencies (primarily the U.S. Geological Survey, BLM, and Forest Service) have dedicated programs and staff, but even they fall short when it comes to making big improvements in the data, such as realigning the flowlines to flow paths generated by lidar-derived elevation data.  The state doesn't have permanently funded full time staff in any of its agencies.  It's a portion of the GIS staff responsibilities that often gets funded by Framework and other grants.  The state has used Framework grants in the past to pay for BLM staff to make improvements in the NHD.","missing","75-100%","Fully implemented","missing","None",NA,"None","It is not necessary since sensitive, private, and/or confidential data are not components of the NHD.","Fully implemented","None","Progressing",NA,"Compiling NHD features encompasses many processes, most of them identified above.","Fully implemented","Fully complete","Global","","Fully complete","Public","Not Applicable","","Yes","missing","","Fully implemented","At the PNW Hydro group web site:  Roles & responsibilities:  http://www.pnwhf.org/stewardship-roles.aspx  Stewardship process:  http://www.pnwhf.org/stewardship-process.aspx","formal","None","Defined","NHD features are tiled by 8-digit hydrologic units (sub-basins) and maintained accordingly by the U.S.G.S. through its automated edit processes.","Ad-hoc","NHDFlowlines are generated from a number of other data elements.  The primary ones are imagery and elevation data, produced from lidar sensors where available.","None","","None","","missing","","Other","U.S. Geological Survey, Lakewood, Colorado","Admin Bnds","city limits"
"5",114,"0.5-meter DOQs",11,"Yes","No","Active","Yes","Yes","Yes","missing","Stay","","Recurring","Funding was initially through the Framework Development Program and is currently funded through May 2019.  No funding has ben secured after that.","missing","75-100%","Planned-resrcs avail","missing","Under development","External","Under development","","Planned-resrcs avail","Initiated","Initiated","Alter existing","","Under development","1 to <25%","US 50 states","","1 to <25%","Not shared","missing","","missing","No process","We are still in the early stages of development and no useful data exists to share.","Planned-resrcs avail","","single","Under development","Defined","","Defined","","Under development","","Under development","","Under development","","Local","","Imagery",".5-meter DOQs"
"6",115,"1-meter DOQs",54,"Yes","No","Active","Yes","Yes","Yes","missing","Stay","","Planned","","missing","75-100%","Planned-resrcs avail","missing","Fully implemented","Internal","Fully implemented","","Fully implemented","Fully implemented","Fully implemented","Alter existing","","Fully implemented","50 to <75%","US 50 states","","50 to <75%","Public","Not Applicable","","Yes","missing","","Planned-resrcs avail","","single","Well established","Defined","","Defined","","Well established","","Well established","","Well established","","Local","","Imagery","1-meter DOQs"
"7",118,"digital elevation model",4,"No","missing","missing","missing","missing","missing","missing","missing","","missing","","missing","missing","missing","missing","missing","missing","missing","","missing","missing","missing","missing","","missing","missing","missing","","missing","missing","missing","","missing","missing","","missing","","missing","missing","missing","","missing","","missing","","missing","","missing","","missing","","Elevation","digital elevation models"
"8",118,"Digital evelation models",33,"Yes","No","Active","Yes","Yes","Yes","missing","Stay","","Planned","DOGAMI does not have a dedicated funding program for this dataset. No funding generally means no time to work on such projects. Until there is a dedicated funding stream for this dataset, it will be difficult to regularly update or maintain it. ","missing","50-75%","In progress-full resrcs","missing","Under development",NA,"None","This dataset is published as open data, i.e. in the public domain.","Fully implemented","Fully implemented","Under development","Alter existing","","Under development","Fully complete","US 50 states","","50 to <75%","Public","Not Applicable","","No","missing","","In progress-partial resrcs","","two","Under development","Defined","Geologic mapping contained in the Geology dataset is horizontally integrated to the Oregon Lambert projection, NAD 83. ","missing","The dataset was digitized and georeferenced to their relative USGS topographic maps, using the Oregon Lambert standard projection. ","None","It is difficult to determine who is using the dataset. Web analytics would be helpful to know how often it is downloaded. Maybe adding a Survey 123 questionnaire to collect comments or feedback from users might help. ","Under development","The last few versions have not been very successful in describing the use of this dataset. ","None","I'm unclear on what the appraising process might be. ","Other","As a published dataset, DOGAMI will keep a copy in our publications for archiving purposes, as well as making it available for digital download. ","Elevation","digital elevation models"
"9",119,"Elevation Contours",6,"Yes","Yes","Active","Yes","Yes","No","Yes","Stay","","Inconsistent","No dedicated agency funding but may be available on an ad-hoc basis; occasional Framework funding support has been provided","Progressing","75-100%","Fully implemented","missing","Well established",NA,"Under development","Methods to assess the sensitivity are still being developed and reviewed.","In progress-partial resrcs","Progressing","Well established","Purchase","","Fully implemented","50 to <75%","Oregon (all)","","50 to <75%","Public","Not Applicable","","No","missing","","In progress-partial resrcs","","single","Progressing","Defined","","Defined","","Progressing","","Progressing","","missing","","missing","","Elevation","elevation contours"
"10",121,"Aspect",20,"Yes","No","Active","Yes","Yes","Yes","missing","Stay","","Planned","funding is available but supplied from various sources. ","Under development","75-100%","Fully implemented","missing","Under development",NA,"None","no assessment necessary. ","Fully implemented","Fully implemented","Fully implemented",NA,"obtain data by creating and obtain data by sharing (option 3 and 4).","Under development","25 to <50%","Global","","25 to <50%","Public","Not Applicable","","Yes","missing","","In progress-partial resrcs","","informal","Under development","Optimized","geodetic control and ortho-rectified imagery would be the only comparable source data element.","Optimized","geodetic control and ortho-rectified imagery would be the only comparable source data element.","Fully implemented","peer-review, third party review","Fully implemented","","None","","Archived","","Elevation","aspect"
"11",122,"bathymetry",21,"Yes","No","Active","No","Yes","Yes","missing","Stay","","Recurring","","Fully implemented","75-100%","NA","FGDC","None","Internal","Initiated","","Fully implemented","Progressing","None","missing","","Fully implemented","25 to <50%","Oregon (all)","","50 to <75%","Not shared","missing","","missing","missing","","missing","","missing","missing","missing","","missing","","missing","","missing","","missing","","missing","","Elevation","bathymetry"
"12",122,"Nearshore and Estuarine Bathymetry",47,"Yes","No","Active","Yes","Yes","No","No","Move","Monuments/Icons data should be moved to the Reference FIT","No process","","missing","Best available","Desired","missing","missing","missing","None","","Desired","None","None","missing","","Not OGIC","75 to <100%","US 50 states","","75 to <100%","Public","Not Applicable","","Yes","missing","","Desired","","missing","None","No process","","No process","","None","","None","","None","","Other","Data has been posted to DAS/GEO serrvers and is being deliverd as a webservice and downloadable data, referenced on OSDL; Data is also stored at OEM and DEQ","Elevation","bathymetry"
"13",123,"watercourses",75,"Yes","No","Active","Yes","Yes","Yes","missing","Stay","","Recurring","","Well established","75-100%","Fully implemented","missing","Well established","External","Well established","","Fully implemented","Fully implemented","Fully implemented","Share-aggregate existing","","Under development","75 to <100%","US 50 states","","Fully complete","Secured","missing","","missing","Defined","State agencies can access the data through a data sharing agreement with the counties. Or thought individual agreements with each county.","Planned-resrcs avail","","other","Well established","Managed","","Managed","","None","The data set is produced and maintained by the county assessors for the sole use for collecting property taxes. All other users must adjust.","None","","None","","Archived","County Assessor store the data. The Department of Revenue collects annual submissions and stores them on its servers.","Hydrography","watercourses"
"14",124,"water bodies",52,"Yes","No","Active","Yes","Yes","No","No","Disagree","The dataset should be in the Preparedness theme","Inconsistent","","missing","75-100%","Desired","missing","missing","missing","Fully implemented","","Fully implemented","Fully implemented","Fully implemented","Share-aggregate existing","","Under development","25 to <50%","US 50 states","","25 to <50%","Public","Not Applicable","","Yes","missing","","Planned-no resrcs","","single","Under development","Repeatable","","Repeatable","","Progressing","","Initiated","","Initiated","","Other","Data stored locally, in OSDL, on DAS-GEO, DEQ and OEM Servers, and in NOAA's Emergency Response Management Application","Hydrography","water bodies"
"15",125,"Water body shorelines",53,"Yes","Yes","Active","Yes","Yes","No","Yes","Stay","","Inconsistent","Neither DSL nor INR has sufficient funding to maintain this dataset. Project funds have been obtained from various sources to update it on occasion. ","missing","50-75%","Fully implemented","missing","Under development","Internal","None","This may be necessary, although the need for this has not been identified. ","Planned-no resrcs","Under development","Initiated","Purchase","","Fully implemented","Fully complete","US 50 states","","Fully complete","Public","Not Applicable","","Yes","missing","","Planned-no resrcs","","informal","Under development","Ad-hoc","The NWI provides horizontal integration.","Ad-hoc","Work is underway to integrate this with related datasets: Landcover, vegetation, wildlife habitat, etc. These have been done individually, but since stewardship and maintenance procedures are not formalized, it's but impossible to make these repeatable.","None","This requires more partnership than has been available to date. It is important, and many people use this dataset.","None","The regulatory community needs to address this.","Under development","QA and QC is critical and needed to improve the dataset, which was built by aggregating best available data. ","Other","Oregon Explorer and on the INR network and The Wetlands Conservancy Network.","Hydrography","water body shorelines"
"16",126,"water points",61,"No","missing","missing","missing","missing","missing","missing","missing","","missing","","missing","missing","missing","missing","missing","missing","missing","","missing","missing","missing","missing","","missing","missing","missing","","missing","missing","missing","","missing","missing","","missing","","missing","missing","missing","","missing","","missing","","missing","","missing","","missing","","Hydrography","water points"
"17",127,"hydrologic units (1st-6th fields)",65,"Yes","Yes","Other","Yes","No","No","No","Stay","","No process","No current projects exist to support mapping snow water content.   ","missing","No information","NA",NA,"None","missing","None","No privacy issues","Desired","None","None","missing","","Not OGIC","0%",NA,"None at this time","0%","Public","In progress-full resrcs","Dataset does not exist","No","No process","The National Weather Service produces daily snow water content maps for the US, including Oregon, but no long-term normals.  Their website is  https://www.nohrsc.noaa.gov/nsa/  ","Desired","","missing","None","No process","","No process","","None","No dataset identified ","None","","None","No dataset","No data","","Hydrography","hydrologic units (1st-6th fields)"
"18",128,"water supply & transmission facilities",63,"Yes","No","Active","Yes","Yes","Yes","missing","Stay","","Recurring","","missing","75-100%","Fully implemented","missing","Fully implemented","Internal","None","Not needed.","Desired","None","Fully implemented","Alter existing","","Fully implemented","Fully complete","US 50 states","","Fully complete","Public","Not Applicable","","Yes","missing","","In progress-full resrcs","","single","Fully implemented","Managed","","No process","","None","Not sure if needed.","Fully implemented","Metadata","None","Not sure if needed","Local","","Utilities","water supply & transmission facilities"
"19",129,"electric generation & transmission facilities",67,"Yes","No","Active","Yes","Yes","Yes","missing","Stay","","Recurring","","missing","75-100%","Fully implemented","missing","Fully implemented","Internal","Fully implemented","Open data","Fully implemented","Fully implemented","Fully implemented","Purchase","","Fully implemented","Fully complete","US 50 states","","75 to <100%","Public","Not Applicable","","Yes","missing","","In progress-full resrcs","","single","Fully implemented","Optimized","","No process","","None","No survey or solicitation for feedback from users. Download metrics unavailable. ","Fully implemented","","None","Has not been developed. ","Other","Oregon's Geospatial Data Library and copies at Oregon NRCS State Office","Utilities","electric generation & transmission facilities"
"20",13,"air quality maintenance areas",46,"Yes","No","Active","Yes","Yes","No","Yes","Stay","","No process","","missing","Best available","Desired","missing","missing","missing","Initiated","Reviewed/documented/implemented as a part of OR-IRIS database project","Desired","Initiated","None","missing","","Fully implemented","50 to <75%","US 50 states","","75 to <100%","Not shared","missing","","missing","Ad-hoc","","Desired","","missing","None","No process","","No process","","None","","None","","None","","missing","Data is stored locally at OEM and DEQ for emergency response use only  ","Admin Bnds","vehicle inspection areas"
"21",13,"Vehicle Inspection Areas",51,"Yes","Yes","Static","Yes","Yes","No","No","Stay","","Recurring","","Fully implemented","75-100%","Desired","missing","missing","missing","Well established","Admin boundary which is a public dataset without PIAA, HPAA, or other sensitive data","Fully implemented","Well established","Fully implemented","Share-aggregate existing","","Not OGIC","Fully complete","US 50 states","","Fully complete","Public","Desired","","No","missing","","Planned-resrcs avail","","single","Fully implemented","No process","Boundaries use data such as TRS or UGB boundaries and are based on the data available at the time of creation.  Once established, they become the boundary indefinitely.","No process","No need for vertical integration of data...they are stand alone datasets.","Fully implemented","","Well established","","None","Administrative boundary descriptions are established in OARs.  Once established, they are the application of the law.","Local","Stored locally and on agency network locations","Admin Bnds","vehicle inspection areas"
"22",139,"Aquatic Habitat",9,"Yes","Yes","Active","Yes","Yes","Yes","missing","Stay","","Inconsistent","ad-hoc funding mainly from federal agencies. Minimal funding for data lifecycle outside of acquisition.  ","Under development","75-100%","In progress-partial resrcs","FGDC","Under development","External","None","","Fully implemented","Under development","Fully implemented",NA,"all options are being explored","Under development","25 to <50%","Global","","25 to <50%","Public","In progress-partial resrcs","","No","missing","","Planned-no resrcs","","informal","Under development","Ad-hoc","","Ad-hoc","","Fully implemented","data has proved usefulness ","Initiated","","Initiated","","Local","","Bioscience","aquatic habitat"
"23",140,"anadromous fish abundance",12,"Yes","No","Active","Yes","Yes","Yes","missing","Stay","","Recurring","","missing","75-100%","Fully implemented","missing","Well established","Internal","Well established","","Fully implemented","Well established","Well established","Purchase","","Fully implemented","Fully complete","Oregon (all)","","75 to <100%","Public","Not Applicable","","Yes","missing","","In progress-full resrcs","","informal","Well established","Defined","New City Annexations are added to base using Cadastral boundary framework layer.  Some adjusting of existing city limit boundaries is done.","Managed","New City Annexations are added to base using Cadastral boundary framework layer.  Some adjusting of existing city limit boundaries is done.","None","","None","metadata","Progressing","","Other","Yearly archived city limit data is stored at Oregon Spatial Data Clearinghouse","Bioscience","anadromous fish abundance"
"24",140,"Anadromous Fish Abundance",1,"Yes","No","Static","Yes","Yes","Yes","missing","Stay","","Inconsistent","","missing","No information","Planned-no resrcs","missing","Progressing",NA,"None","","Planned-no resrcs","Initiated","Progressing","Other","","Under development","Fully complete","US 50 states","","50 to <75%","Public","Not Applicable","","Yes","missing","","Planned-no resrcs","","two","Initiated","Repeatable","","No process","","Under development","","None","","None","","Archived","","Bioscience","anadromous fish abundance"
"25",141,"Geology",37,"Yes","Yes","Active","Yes","Yes","No","Yes","Stay","","Recurring","","missing","75-100%","Desired","missing","missing","missing","Fully implemented","","Desired","None","None","missing","","Under development","75 to <100%","US 50 states","","75 to <100%","Public","Not Applicable","","Yes","missing","","In progress-partial resrcs","","single","Fully implemented","Ad-hoc","","Ad-hoc","","Well established","","Initiated","","Well established","","Other","The most current data resides at the Oregon State Fire Marshal's data system, with now outdated data posted to DAS/GEO serrvers and is being deliverd as a webservice and downloadable data, referenced on OSDL; data is also stored at OEM and DEQ  ","Geoscience","geology"
"26",142,"Soil",10,"Yes","No","Static","Yes","Yes","No","No","CC-move","Cities dataset should be moved to Reference FIT","No process","","missing","Best available","Desired","missing","missing","missing","None","","Desired","None","None","missing","","Not OGIC","75 to <100%","US 50 states","","75 to <100%","Public","Not Applicable","","Yes","missing","","Desired","","missing","None","No process","","No process","","None","","None","","None","","Local","","Geoscience","soils"
"27",143,"Geomorphology",56,"Yes","Yes","Other","No","Yes","No","No","Stay","","No process","NOAA Atlas 14 has been updated on a region by region basis by the National Weather Service, as funding from states becomes available.  All of the US has been completed, except for OR, WA, ID, MT, and WY.   I do not know if any funding has been allocated for OR. ","missing","75-100%","Desired","missing","missing","missing","Fully implemented","No privacy issues","Desired","None","None","missing","","Not OGIC","0%",NA,"Oregon not available ","0%","Public","Desired","","No","missing","","Desired","","missing","Well established","No process","","No process","","Fully implemented","NOAA Atlas 14 data are used extensively by engineers to determine culvert size, street crown pitch, etc., and underlie many municipal building codes.  There is a lot of communication between developers and users of the data. ","Fully implemented","","Fully implemented","","Other","Data are archived at a NOAA facility.  None available for Oregon, yet. ","Geoscience","geomorphology"
"28",145,"anadromous fish habitat distributions",2,"Yes","No","Static","Yes","Yes","Yes","missing","Stay","","Inconsistent","","missing","75-100%","NA","FGDC","Well established","Internal","None","","Desired","Progressing","None","missing","","Not OGIC","Fully complete","US 50 states","","Fully complete","Public","Not Applicable","","Yes","missing","","In progress-full resrcs","","two","None","No process","","No process","","None","","None","","None","","Archived","","Bioscience","anadromous fish habitat distributions"
"29",146,"Existing Vegetation",45,"Yes","No","Other","Yes","Yes","No","No","Stay","","No process","While data exist that can support this element, there has been no funding or effort to identify which datasets are appropriate for the element or to develop a process to adopt data into the element.  Funding to produce the data has been related to specific resource management or research needs to determine species habitat distribution. ","missing","No information","Desired","missing","missing","missing","Under development","The element will include multiple datasets from various sources.  Some will have confidential aspects, some not.  Generally, datasets that are based all or in part on commercial fisheries data will need evaluation for confidentiality issues.  There may also be other datasets with sensitivity issues.","Desired","None","None","missing","","Not OGIC","0%","Oregon (specific extents)","","0%","Not shared","missing","","missing","Ad-hoc","There are currently no data ""officially"" in the data element; however, many datasets exist that could potentially be brought into this process.  Some of these data are accessible on the web or through request.","Desired","","missing","None","No process","","No process","","None","Process has not begun to assess user needs.","None","Process has not begun to assess user needs or to bring datasets into the element.","None","Process has not begun to evaluate datasets for this element.","Other","Datasets not yet in element.  Datasets that can potentially be brought into element have various archival mechanisms, depending on the institution where the data reside.","Bioscience","existing vegetation"
"30",146,"Wildlife Habitats",84,"Yes","No","Static","Yes","Yes","No","No","Stay","","Recurring","","missing","75-100%","Desired","missing","missing","missing","None","Simple dataset only provides boundary without detailed attributes or metadata","Fully implemented","None","Well established",NA,"Data created after demographics, meteorology and airshed characterstics","Not OGIC","Fully complete","Oregon (all)","","Fully complete","Public","Desired","","No","missing","","Planned-resrcs avail","","single","None","No process","Dataset is static and indepndent, no needs for integrating with adjacent data types","No process","Dataset is static and indepndent, no needs for integrating with adjacent data types","Well established","","Well established","","None","Dataset is static and long established in regulations, no needs for appraisal of data.","Local","Stored in a backed up GIS library at DEQ","Bioscience","existing vegetation"
